# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-08-28 14:28:05.658
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003662,-0.0910,0.2034,0.0522,0.23
0.015873,-0.0011,0.0517,0.0044,0.05
0.025427,0.0013,-0.0436,-0.0820,0.09
0.034977,-0.0242,-0.1042,-0.1088,0.15
0.045869,-0.0297,-0.1590,-0.0988,0.19
0.054927,-0.0154,-0.2316,-0.0717,0.24
0.067188,-0.0098,-0.2699,0.0083,0.27
0.075803,-0.0037,-0.2277,0.0819,0.24
0.085464,-0.0068,-0.1532,0.1338,0.20
0.094897,-0.0099,-0.0755,0.1170,0.14
0.106923,-0.0272,-0.0085,0.0892,0.09
0.115187,-0.0260,0.0432,0.0468,0.07
0.124416,-0.0257,0.0659,0.0055,0.07
0.148871,-0.0175,0.0494,-0.0296,0.06
0.158176,-0.0234,0.0393,0.0000,0.05
0.167567,-0.0289,0.0200,0.0393,0.05
0.176110,-0.0012,-0.0084,0.0692,0.07
0.183017,-0.0016,-0.0035,0.0933,0.09
0.192588,0.0313,-0.0080,0.0882,0.09
0.204001,0.0262,-0.0032,0.0638,0.07
0.215209,0.0259,-0.0125,0.0159,0.03
0.225406,0.0113,-0.0217,-0.0311,0.04
0.234246,-0.0222,-0.0307,-0.0490,0.06
0.249809,-0.0269,-0.0349,-0.0570,0.07
0.256995,-0.0453,-0.0295,-0.0413,0.07
0.265261,-0.0348,-0.0479,-0.0025,0.06
0.278236,-0.0103,-0.0565,0.0205,0.06
0.284786,-0.0285,-0.0557,0.0424,0.08
0.297753,-0.0088,-0.0502,0.0258,0.06
0.306744,-0.0036,-0.0353,0.0000,0.04
0.315299,-0.0129,-0.0113,-0.0112,0.02
0.325141,-0.0217,0.0123,-0.0310,0.04
0.334623,-0.0210,0.0450,-0.0404,0.06
0.346075,-0.0296,0.0395,-0.0303,0.06
0.355554,-0.0292,0.0201,-0.0195,0.04
0.366205,-0.0252,-0.0177,-0.0220,0.04
0.376973,-0.0410,-0.0219,-0.0282,0.05
0.388348,-0.0670,0.0166,-0.0189,0.07
0.395198,-0.0593,0.0874,-0.0316,0.11
0.403123,-0.0651,0.1195,-0.0326,0.14
0.418694,-0.0121,0.1133,-0.0932,0.15
0.428232,-0.1028,0.2059,-0.0722,0.24
0.437628,-0.1253,0.1886,-0.0661,0.24
0.451888,-0.1613,0.1385,-0.0801,0.23
0.453639,-0.1880,0.0328,-0.1048,0.22
0.465509,-0.2247,-0.0618,-0.1307,0.27
0.473899,-0.3082,-0.0654,-0.1099,0.33
0.485522,-0.3478,-0.0737,-0.0855,0.37
0.503448,-0.3400,-0.0913,-0.0665,0.36
0.503658,-0.3515,-0.1086,-0.0344,0.37
0.514594,-0.3581,-0.1162,0.0012,0.38
0.527867,-0.2802,-0.1001,0.0220,0.30
0.534418,-0.2229,-0.0325,0.1131,0.25
0.546125,-0.2704,0.0058,0.2261,0.35
0.558580,-0.2275,0.0575,0.2621,0.35
0.568491,-0.1614,0.0801,0.3157,0.36
0.578211,-0.1193,0.1399,0.3500,0.40
0.584982,-0.1061,0.2083,0.3848,0.45
0.597347,-0.0967,0.2378,0.4216,0.49
0.609222,-0.0487,0.2057,0.4182,0.47
0.620577,0.0842,0.2590,0.3295,0.43
0.629104,0.1730,0.0008,0.3393,0.38
0.636305,0.3450,-0.2155,0.4054,0.57
0.646991,0.0698,-0.1036,0.5433,0.56
0.655985,0.0784,-0.0692,0.3319,0.35
0.665359,0.1783,-0.0730,0.2481,0.31
0.674899,0.3004,0.1073,0.0386,0.32
0.689411,0.1284,0.1999,-0.1980,0.31
0.697510,-0.0026,0.1498,-0.2852,0.32
0.707739,-0.0759,0.0960,-0.1790,0.22
0.717846,-0.1928,0.0669,-0.0907,0.22
0.725566,-0.2957,0.0572,-0.0073,0.30
0.734284,-0.4076,0.0807,0.1730,0.45
0.747279,-0.5097,0.1133,0.3152,0.61
0.757599,-0.6392,0.1264,0.2921,0.71
0.766293,-0.7623,0.1110,0.1684,0.79
0.773931,-0.8978,0.0770,0.1247,0.91
0.784453,-0.9795,0.0294,0.1175,0.99
0.798890,-0.9894,-0.0739,0.1467,1.00
0.807487,-0.9619,-0.1849,0.1377,0.99
0.817170,-0.9163,-0.2658,0.0912,0.96
0.826555,-0.8903,-0.2888,0.0131,0.94
0.834959,-0.8404,-0.2927,-0.0684,0.89
0.846629,-0.7616,-0.2777,-0.1070,0.82
0.856061,-0.6685,-0.2585,-0.1377,0.73
0.865554,-0.5665,-0.1974,-0.1710,0.62
0.874895,-0.4749,-0.0809,-0.2112,0.53
0.886413,-0.3846,0.0430,-0.2303,0.45
0.897840,-0.2961,0.1553,-0.2416,0.41
0.908161,-0.2415,0.2517,-0.2397,0.42
0.917633,-0.2019,0.3181,-0.2470,0.45
0.927548,-0.2236,0.3364,-0.2858,0.49
0.935862,-0.2489,0.3072,-0.3454,0.53
0.948371,-0.2263,0.2127,-0.4344,0.53
0.957152,-0.1231,0.1196,-0.4915,0.52
0.965089,0.0073,0.0564,-0.4285,0.43
0.975239,0.1267,0.0036,-0.2954,0.32
0.988578,0.2534,-0.0437,-0.1601,0.30
0.998995,0.3778,-0.0666,-0.0613,0.39
1.006829,0.4572,-0.1126,0.0107,0.47
1.016948,0.5118,-0.1438,0.0422,0.53
1.027759,0.5518,-0.1839,0.0349,0.58
1.035280,0.5919,-0.1763,-0.0046,0.62
1.048439,0.6557,-0.1171,0.0143,0.67
1.058757,0.7188,-0.0589,0.0113,0.72
1.067202,0.7756,-0.0204,0.0102,0.78
1.085207,0.8253,-0.0107,0.0483,0.83
1.097927,0.8458,-0.0240,0.0307,0.85
1.107180,0.7941,-0.0468,0.0173,0.80
1.115443,0.6954,-0.0926,0.0083,0.70
1.125303,0.5842,-0.1048,0.0036,0.59
1.140001,0.4712,-0.0933,0.0218,0.48
1.150651,0.4129,-0.0538,0.0200,0.42
1.158537,0.3710,-0.0386,0.0365,0.37
1.166645,0.3447,-0.0473,0.0287,0.35
1.175286,0.3378,-0.0982,0.0168,0.35
1.188533,0.3310,-0.1953,-0.0552,0.39
1.197830,0.3334,-0.3049,-0.0960,0.46
1.206273,0.3538,-0.4173,-0.1353,0.56
1.216135,0.4071,-0.5116,-0.1378,0.67
1.231198,0.4492,-0.5673,-0.1167,0.73
