# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-08-28 14:39:00.283
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004937,-0.3106,0.1332,0.3059,0.46
0.017193,0.0934,-0.0169,-0.6640,0.67
0.025374,0.3937,-0.1696,-1.2597,1.33
0.034463,0.4618,-0.2215,-1.2244,1.33
0.044327,0.2950,-0.1558,-0.6343,0.72
0.060075,0.0042,-0.0369,0.1298,0.13
0.068695,-0.1791,0.0420,0.6976,0.72
0.074833,-0.1975,0.0292,0.7853,0.81
0.084739,-0.1170,-0.0241,0.4949,0.51
0.094971,0.0135,-0.0678,0.0537,0.09
0.111160,0.0993,-0.0425,-0.3050,0.32
0.120579,0.1289,0.0182,-0.4651,0.48
0.127164,0.0929,0.1055,-0.3211,0.35
0.136694,0.0046,0.1538,-0.0617,0.17
0.150859,-0.0750,0.1653,0.1136,0.21
0.158268,-0.0822,0.0976,0.0977,0.16
0.166383,-0.0818,0.0224,-0.0122,0.09
0.177603,-0.0811,-0.0191,-0.0874,0.12
0.184830,-0.0638,-0.0610,-0.0720,0.11
0.195366,-0.0854,-0.0606,0.0610,0.12
0.207074,-0.0984,-0.0274,0.1306,0.17
0.219362,-0.0540,0.0015,0.1613,0.17
0.226381,-0.0484,0.0450,0.0973,0.12
0.234831,0.0127,0.0653,-0.0318,0.07
0.245541,0.0885,0.0286,-0.0929,0.13
0.259810,0.1044,-0.0368,-0.0869,0.14
0.267698,0.0894,-0.0736,-0.0432,0.12
0.274718,0.0848,-0.0917,0.0235,0.13
0.285659,0.0746,-0.0910,0.0657,0.13
0.294954,0.0443,-0.0808,0.0649,0.11
0.304485,0.0277,-0.0467,0.0404,0.07
0.316234,0.0500,-0.0271,0.0021,0.06
0.325042,0.0739,0.0059,-0.0167,0.08
0.336916,0.0805,0.0333,-0.0069,0.09
0.351249,0.0691,0.0739,0.0168,0.10
0.359612,0.0489,0.0861,0.0307,0.10
0.368870,0.0373,0.0797,0.0301,0.09
0.377099,0.0009,0.0460,0.0387,0.06
0.385182,-0.0265,0.0037,0.0425,0.05
0.400789,-0.0257,-0.0286,0.0274,0.05
0.409953,-0.0202,-0.0605,0.0126,0.06
0.418550,-0.0143,-0.0734,-0.0018,0.07
0.427756,0.0017,-0.0722,-0.0113,0.07
0.435050,0.0134,-0.0523,-0.0112,0.06
0.444618,0.0207,-0.0278,-0.0064,0.04
0.459700,0.0467,-0.0177,0.0029,0.05
0.467498,0.0484,-0.0028,0.0167,0.05
0.474900,0.0449,-0.0069,0.0256,0.05
0.486831,0.0366,0.0031,0.0296,0.05
0.501018,0.0237,0.0032,0.0007,0.02
0.509838,0.0067,0.0171,-0.0181,0.03
0.517372,0.0044,0.0353,-0.0273,0.04
0.525711,0.0123,0.0532,-0.0222,0.06
0.536219,0.0342,0.0566,-0.0171,0.07
0.550336,0.0319,0.0553,-0.0169,0.07
0.558839,0.0199,0.0401,-0.0167,0.05
0.567197,0.0130,0.0156,-0.0023,0.02
0.576095,0.0009,-0.0041,0.0025,0.00
0.586314,-0.0200,-0.0141,-0.0069,0.03
0.600936,-0.0405,-0.0054,-0.0255,0.05
0.609030,-0.0608,0.0175,-0.0344,0.07
0.616618,-0.0668,0.0355,-0.0573,0.09
0.625569,-0.0777,0.0487,-0.0611,0.11
0.638499,-0.0793,0.0523,-0.0459,0.11
0.650199,-0.0999,0.0466,-0.0405,0.12
0.658180,-0.1441,0.0272,-0.0305,0.15
0.665998,-0.1693,-0.0060,-0.0207,0.17
0.675415,-0.1711,-0.0244,-0.0063,0.17
0.686209,-0.1639,-0.0521,0.0032,0.17
0.699473,-0.1195,-0.0415,0.0125,0.13
0.707446,-0.0622,-0.0404,0.0122,0.08
0.715790,-0.0063,-0.0485,0.0072,0.05
0.726232,0.0247,-0.0424,-0.0024,0.05
0.737355,0.0504,-0.0223,0.0070,0.06
0.750281,0.0625,-0.0029,0.0068,0.06
0.756921,0.0657,0.0253,0.0162,0.07
0.766268,0.0699,0.0431,0.0208,0.08
0.776218,0.0838,0.0608,0.0347,0.11
0.786550,0.0926,0.0736,0.0483,0.13
0.799920,0.0915,0.0722,0.0522,0.13
0.807431,0.0903,0.0522,0.0325,0.11
0.816179,0.0703,0.0232,-0.0058,0.07
0.826235,0.0371,-0.0145,-0.0341,0.05
0.836215,0.0048,-0.0377,-0.0383,0.05
0.849052,-0.0129,-0.0700,-0.0613,0.09
0.857178,-0.0495,-0.0687,-0.0651,0.11
0.868572,-0.0816,-0.0346,-0.0404,0.10
0.877584,-0.0904,-0.0102,-0.0257,0.09
0.891702,-0.0997,0.0186,-0.0253,0.10
0.900624,-0.1003,0.0283,0.0080,0.10
0.908797,-0.0773,0.0375,0.0409,0.10
0.916368,-0.0356,0.0558,0.0497,0.08
0.926523,0.0059,0.0411,0.0300,0.05
0.940179,0.0566,-0.0012,0.0057,0.06
0.950333,0.0693,-0.0093,-0.0088,0.07
0.957907,0.0634,-0.0123,0.0144,0.07
0.966888,0.0621,-0.0298,0.0232,0.07
0.977029,0.0566,-0.0522,0.0368,0.09
0.990802,0.0603,-0.0743,0.0454,0.11
1.001486,0.0495,-0.0732,0.0541,0.10
