# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-08-28 14:24:51.718
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004802,0.0333,0.1697,-0.1766,0.25
0.004965,0.0412,-0.0923,-0.2122,0.24
0.016056,-0.0141,-0.2557,-0.2873,0.38
0.025174,-0.0413,-0.3035,-0.3991,0.50
0.034283,-0.0258,-0.3035,-0.4494,0.54
0.045280,-0.0431,-0.2801,-0.4410,0.52
0.056264,-0.0781,-0.2101,-0.4100,0.47
0.064880,-0.1213,-0.1081,-0.3526,0.39
0.077938,-0.1310,-0.0170,-0.3101,0.34
0.086589,-0.1312,0.0822,-0.2514,0.30
0.096409,-0.1359,0.1563,-0.1856,0.28
0.104417,-0.1452,0.2103,-0.1462,0.29
0.116274,-0.1493,0.2304,-0.1085,0.30
0.128059,-0.1438,0.1888,-0.1087,0.26
0.136740,-0.1152,0.1055,-0.1194,0.20
0.146536,-0.0030,-0.0141,-0.1686,0.17
0.155679,-0.0287,-0.0375,-0.1936,0.20
0.168787,-0.0681,-0.0700,-0.2593,0.28
0.178178,-0.0603,-0.1490,-0.2413,0.29
0.187241,-0.0772,-0.2220,-0.1820,0.30
0.195947,-0.0617,-0.2371,-0.1420,0.28
0.204744,-0.0050,-0.2190,-0.1250,0.25
0.218010,0.0413,-0.1588,-0.1157,0.20
0.227662,0.1013,-0.0902,-0.1186,0.18
0.237813,0.1565,-0.0181,-0.1093,0.19
0.248661,0.1737,0.0340,-0.0742,0.19
0.256973,0.1440,0.0851,-0.0566,0.18
0.271896,0.0964,0.1118,-0.0569,0.16
0.278994,0.0823,0.1287,-0.0989,0.18
0.286360,0.0261,0.1076,-0.1259,0.17
0.295093,-0.0391,0.0445,-0.1525,0.16
0.306547,-0.0664,-0.0457,-0.1560,0.18
0.317929,-0.1504,-0.1062,-0.0997,0.21
0.324959,-0.2144,-0.1421,-0.0982,0.28
0.334973,-0.2584,-0.1397,-0.0895,0.31
0.345789,-0.3061,-0.1044,-0.0312,0.32
0.360680,-0.3476,-0.0461,0.0002,0.35
0.369439,-0.2942,0.0017,-0.0174,0.29
0.378193,-0.2697,0.0676,-0.0354,0.28
0.386264,-0.2547,0.1041,-0.0112,0.28
