# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-08-28 14:33:21.525
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.017043,-0.0704,-0.0109,0.0623,0.09
0.034916,0.0132,-0.0596,-0.0720,0.09
0.046567,0.0201,-0.0537,-0.1323,0.14
0.055241,0.0177,-0.0715,-0.1691,0.18
0.067959,0.0202,-0.0937,-0.1835,0.21
0.081660,-0.0045,-0.1344,-0.1692,0.22
0.089050,-0.0280,-0.1604,-0.0933,0.19
0.098293,-0.0360,-0.1389,-0.0096,0.14
0.106508,-0.0291,-0.1084,0.0474,0.12
0.115035,-0.0219,-0.0503,0.0571,0.08
0.128121,-0.0006,-0.0025,0.0750,0.08
0.136416,0.0295,0.0350,0.1183,0.13
0.144948,0.0972,0.0434,0.0872,0.14
0.158418,0.1591,0.0282,-0.0019,0.16
0.169620,0.1253,0.0038,-0.0388,0.13
0.178129,0.1283,-0.0575,-0.0468,0.15
0.186074,0.1586,-0.0988,-0.0441,0.19
0.195184,0.1880,-0.1252,-0.0255,0.23
0.206879,0.2171,-0.1558,-0.0105,0.27
0.219921,0.2370,-0.1625,0.0147,0.29
0.232219,0.2957,-0.1552,0.0489,0.34
0.239224,0.3349,-0.1388,0.0069,0.36
0.247794,0.3165,-0.1413,-0.0014,0.35
0.255994,0.3256,-0.1578,-0.0379,0.36
0.265196,0.3241,-0.1361,-0.0595,0.36
0.277373,0.3260,-0.0909,-0.0569,0.34
0.287206,0.3408,-0.0652,-0.0588,0.35
0.295607,0.3730,-0.0538,-0.0604,0.38
0.306353,0.4273,-0.0518,-0.0759,0.44
0.318400,0.5037,-0.0639,-0.0439,0.51
0.327678,0.5783,-0.0851,-0.0031,0.58
0.336323,0.5948,-0.1060,0.0325,0.61
0.346887,0.5969,-0.1030,0.0725,0.61
0.355789,0.5894,-0.0906,0.1352,0.61
0.370054,0.5732,-0.0691,0.1958,0.61
0.377608,0.4738,-0.0388,0.2446,0.53
0.385994,0.3496,-0.0140,0.2717,0.44
0.395821,0.2571,-0.0228,0.3012,0.40
0.406744,0.2145,-0.0412,0.3231,0.39
0.418538,0.2023,-0.0501,0.3796,0.43
0.427999,0.2154,-0.0638,0.4703,0.52
0.435890,0.2065,-0.0777,0.5711,0.61
0.445639,0.2319,-0.1104,0.6729,0.72
0.456733,0.2809,-0.1521,0.6783,0.75
0.469006,0.3428,-0.2024,0.6232,0.74
0.477848,0.3744,-0.2047,0.5343,0.68
0.485774,0.4606,-0.1030,0.4270,0.64
0.498818,0.6788,0.0542,0.2937,0.74
0.511272,0.7906,0.1058,0.3313,0.86
0.518566,0.7259,-0.0128,0.3605,0.81
0.527696,0.6967,-0.1108,0.1553,0.72
0.535985,0.7824,0.1277,0.0574,0.79
0.547075,0.7917,0.3864,-0.2264,0.91
0.561051,0.8975,0.1743,-0.3951,1.00
0.568161,0.7169,-0.1202,-0.4973,0.88
0.576832,0.2529,-0.2364,-0.4879,0.60
0.586176,0.1978,-0.1530,-0.5156,0.57
0.599645,0.1506,-0.0849,-0.2941,0.34
0.609594,-0.0803,0.0340,-0.1063,0.14
0.619674,-0.3444,0.1602,-0.0789,0.39
0.627018,-0.5038,0.2605,-0.2320,0.61
0.636767,-0.5833,0.3446,-0.5224,0.86
0.647767,-0.6634,0.4175,-0.7295,1.07
0.660198,-0.7544,0.4229,-0.6932,1.11
0.668937,-0.7955,0.3996,-0.5455,1.04
0.677317,-0.8545,0.3294,-0.4630,1.03
0.686647,-1.0011,0.2224,-0.4268,1.11
0.697972,-1.2127,0.0898,-0.4667,1.30
0.710246,-1.4075,-0.0143,-0.5342,1.51
0.718912,-1.5800,-0.0377,-0.6059,1.69
0.726319,-1.7349,-0.0186,-0.5549,1.82
0.736596,-1.8486,0.0238,-0.4261,1.90
0.748359,-1.9077,0.0419,-0.2072,1.92
0.759805,-1.9406,0.1026,0.1418,1.95
0.769753,-1.9537,0.5015,0.6285,2.11
0.778706,-1.5386,-0.0747,0.2083,1.55
0.787289,-1.2591,-0.4144,0.4896,1.41
0.798915,-1.1184,-0.4897,0.6471,1.38
0.810708,-0.8710,-0.6600,0.5172,1.21
0.818647,-0.5640,-0.8585,0.4274,1.11
0.827275,-0.2589,-1.0326,0.3971,1.14
0.836682,0.0253,-1.1348,0.3788,1.20
0.848477,0.2597,-1.0457,0.3852,1.14
0.859902,0.4074,-0.8425,0.4098,1.02
0.868882,0.4652,-0.4636,0.4029,0.77
0.876870,0.4437,-0.0338,0.3767,0.58
0.886681,0.3491,0.3322,0.4293,0.65
0.899925,0.2299,0.5627,0.5682,0.83
0.910701,0.0720,0.7299,0.6444,0.98
0.919267,-0.1536,0.8242,0.5880,1.02
0.927961,-0.3898,0.8744,0.5495,1.10
0.938160,-0.6226,0.8807,0.5360,1.20
0.950909,-0.8009,0.8335,0.5209,1.27
0.960822,-0.9449,0.7953,0.4960,1.33
0.968779,-0.9800,0.6900,0.4857,1.29
0.976973,-0.9230,0.5422,0.5704,1.21
0.988120,-0.8805,0.3861,0.7377,1.21
1.002809,-0.7871,0.2222,0.9042,1.22
1.010132,-0.7012,0.0845,1.0159,1.24
1.017111,-0.6135,0.0018,0.9969,1.17
1.027110,-0.4950,-0.0025,0.9536,1.07
1.039314,-0.3832,0.0044,1.0004,1.07
1.052380,-0.3003,0.0127,1.0739,1.12
1.060577,-0.2114,-0.0017,1.1919,1.21
1.071057,-0.1243,-0.0011,1.2681,1.27
1.078045,-0.0431,-0.0191,1.3507,1.35
1.090806,-0.0185,0.0060,1.4353,1.44
1.100916,-0.0495,0.0546,1.5796,1.58
1.109802,-0.1303,0.1217,1.6973,1.71
1.118596,-0.2410,0.1833,1.7984,1.82
1.127185,-0.3435,0.1772,1.9259,1.96
1.138302,-0.4953,0.1707,2.0744,2.14
1.151681,-0.5252,0.0494,2.2432,2.30
1.158613,-0.5833,-0.0903,2.4024,2.47
1.168295,-0.4483,-0.3382,2.4805,2.54
1.178069,-0.5023,-0.3693,2.5968,2.67
1.190979,-0.2193,-0.6465,2.6193,2.71
1.201300,-0.2105,-0.6777,2.6261,2.72
1.211964,-0.3395,-0.5361,2.5572,2.63
1.218305,-0.5067,-0.3854,2.5192,2.60
1.227394,-0.4961,-0.3073,2.5176,2.58
1.239257,-0.5586,-0.1067,2.3206,2.39
1.251670,-0.5448,0.0339,1.8177,1.90
1.261338,-0.5124,0.1334,0.9896,1.12
1.269128,-0.5399,0.1347,0.3020,0.63
1.277490,-0.6965,-0.1327,0.2567,0.75
1.287729,-0.9463,-0.9008,0.7678,1.52
1.302367,-1.2662,-2.1485,1.1664,2.75
1.310070,-1.6490,-3.4931,1.2428,4.06
1.318757,-2.2656,-3.7662,1.4625,4.63
1.330243,-2.4420,-4.7529,0.6856,5.39
1.341687,-2.9105,-6.0899,-0.8414,6.80
1.351050,-3.5812,-6.7991,-1.8467,7.90
1.360320,-3.5968,-6.4736,-2.5277,7.83
1.368253,-3.4136,-5.1316,-2.4926,6.65
1.379681,-3.1978,-4.0334,-2.5814,5.76
1.391833,-2.8920,-3.2611,-2.3918,4.97
1.401233,-2.3736,-2.6866,-2.0916,4.15
1.408984,-1.5308,-2.1170,-1.9601,3.27
1.417762,-0.5409,-1.4526,-1.9555,2.50
1.429764,0.3487,-0.6872,-2.0567,2.20
1.443499,0.9213,0.0693,-2.1231,2.32
1.450772,1.2269,0.6835,-1.9953,2.44
1.458049,1.3479,1.0387,-1.5678,2.31
1.468211,1.2420,1.1532,-1.0157,1.98
1.480813,0.9980,1.0275,-0.5878,1.55
1.493375,0.6626,0.8165,-0.4933,1.16
1.501249,0.1018,0.1863,-0.7058,0.74
