# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-08-28 14:43:47.703
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.014085,-0.1181,0.1625,0.3813,0.43
0.021719,-0.0133,0.1101,0.3707,0.39
0.028288,0.0770,0.0603,0.1384,0.17
0.043416,0.1082,0.0434,-0.0243,0.12
0.052053,0.0615,0.0769,-0.0573,0.11
0.059004,0.0178,0.0636,-0.0472,0.08
0.068727,-0.0024,0.0247,-0.0278,0.04
0.077495,-0.0082,-0.0247,-0.0037,0.03
0.087115,0.0661,-0.1825,-0.1402,0.24
0.097567,0.1564,-0.4516,-0.3780,0.61
0.110912,0.0186,-0.1985,0.0521,0.21
0.119491,-0.0252,-0.0888,0.1784,0.20
0.127625,-0.0610,0.0765,0.2556,0.27
0.137110,0.0142,0.0444,-0.0453,0.06
0.147760,0.0836,-0.1280,-0.4072,0.44
0.163093,-0.0034,0.0968,-0.0427,0.11
0.173577,-0.0914,0.2303,0.2828,0.38
0.182607,-0.0849,0.1816,0.2356,0.31
0.190128,-0.0241,0.0559,-0.0886,0.11
0.197099,0.0758,-0.2047,-0.4357,0.49
0.211093,-0.1038,0.0588,0.0377,0.13
0.220680,-0.1772,0.1441,0.1219,0.26
0.228540,-0.1945,0.1440,-0.0730,0.25
0.237542,-0.0520,-0.0567,-0.4154,0.42
0.247622,-0.1129,0.1640,-0.1071,0.23
0.260972,-0.0713,0.3205,0.2008,0.38
0.269512,0.0335,0.2716,0.2588,0.38
0.277562,0.0815,0.2060,0.2074,0.30
0.287524,0.0978,-0.0180,-0.2105,0.23
0.297274,0.0091,0.1451,-0.0142,0.15
0.310293,-0.0448,0.2381,-0.0189,0.24
0.321590,-0.1286,0.3532,-0.1175,0.39
0.328651,-0.1111,0.3637,-0.2286,0.44
0.339098,-0.0798,0.4293,-0.1211,0.45
0.353865,-0.0140,0.4237,0.0082,0.42
0.360802,0.0402,0.3214,0.1354,0.35
0.370871,0.0717,0.1496,0.3076,0.35
0.379713,0.1063,-0.0729,0.4673,0.48
0.390488,0.1219,-0.2932,0.5300,0.62
0.401666,0.1374,-0.4992,0.4456,0.68
0.410248,0.1224,-0.6550,0.2401,0.71
0.418168,0.0830,-0.7444,0.0287,0.75
0.428398,0.0443,-0.7814,-0.0802,0.79
0.438888,-0.0182,-0.7582,-0.0365,0.76
0.452125,-0.0872,-0.6813,-0.0452,0.69
0.459609,-0.1351,-0.5477,-0.1998,0.60
0.468052,-0.1289,-0.4204,-0.2718,0.52
0.478539,-0.0660,-0.3200,-0.2908,0.44
0.489919,0.0464,-0.2155,-0.1918,0.29
0.501644,0.1001,-0.0751,-0.0708,0.14
0.510327,0.1526,-0.1032,-0.3288,0.38
0.518318,0.1223,0.1316,-0.1869,0.26
0.528673,0.0416,0.3860,-0.0239,0.39
0.539788,-0.0431,0.6144,-0.0189,0.62
0.551492,-0.0150,0.7770,-0.0516,0.78
0.560238,0.0014,0.9272,-0.0273,0.93
0.568292,0.0580,0.9990,-0.0315,1.00
0.580701,0.0488,1.0991,0.1103,1.11
0.592738,0.0856,1.0317,0.3063,1.08
0.601454,0.1425,0.7790,0.3578,0.87
0.609634,0.1646,0.4891,0.3566,0.63
0.618651,0.1436,0.1862,0.3788,0.45
0.628461,0.1078,-0.1097,0.3395,0.37
0.638757,0.1015,-0.3973,0.2867,0.50
0.651943,0.0948,-0.6370,0.1924,0.67
0.659723,0.0338,-0.8044,0.0526,0.81
0.668287,-0.0668,-0.8669,-0.0471,0.87
0.678560,-0.2072,-0.8355,-0.1075,0.87
0.688808,-0.2962,-0.7356,-0.2045,0.82
0.700606,-0.3253,-0.6265,-0.2152,0.74
0.709058,-0.2946,-0.5146,-0.1738,0.62
0.718952,-0.2279,-0.3930,-0.1001,0.47
0.728921,-0.1517,-0.2726,-0.0370,0.31
0.738539,-0.0739,-0.1446,-0.0126,0.16
0.750246,-0.0030,-0.0274,0.0018,0.03
0.759549,0.0559,0.0609,0.0066,0.08
0.770784,0.1013,0.1547,0.0773,0.20
0.779848,0.1478,0.1186,0.0620,0.20
0.791738,0.2192,-0.0014,-0.0754,0.23
0.802271,0.0975,0.2384,0.0108,0.26
0.810256,0.0447,0.3476,-0.0222,0.35
0.818607,-0.0025,0.4557,-0.0216,0.46
0.829449,-0.0173,0.4733,0.0215,0.47
0.843118,0.0046,0.4443,0.0497,0.45
0.851265,0.0393,0.3458,0.0351,0.35
0.859450,0.0729,0.2029,0.0114,0.22
0.869605,0.0917,0.0681,0.0257,0.12
0.880686,0.1150,-0.0733,0.0210,0.14
0.892842,0.1149,-0.1878,0.0022,0.22
0.901224,0.0966,-0.2475,-0.0116,0.27
0.909478,0.0554,-0.2769,-0.0441,0.29
0.919512,0.0195,-0.2857,-0.0808,0.30
0.931057,0.0169,-0.2827,-0.0934,0.30
0.942663,0.0085,-0.2361,-0.0870,0.25
0.951366,0.0183,-0.1797,-0.0807,0.20
0.959482,0.0133,-0.1144,-0.0698,0.13
0.969316,0.0173,-0.0447,-0.0639,0.08
0.980852,-0.0077,0.0247,-0.0910,0.09
0.994522,-0.0333,0.0802,-0.1460,0.17
1.002890,-0.0455,0.1035,-0.1954,0.23
1.010301,-0.0492,0.1190,-0.2158,0.25
1.019260,-0.0728,0.1029,-0.2172,0.25
1.030417,-0.0546,0.0602,-0.1902,0.21
1.043142,-0.0465,0.0140,-0.1496,0.16
1.050867,-0.0343,-0.0507,-0.0956,0.11
