# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-08-28 14:44:53.277
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.018956,0.0011,-0.0627,0.0565,0.08
0.027902,-0.0019,-0.0769,0.0832,0.11
0.036096,0.0268,-0.0521,0.0578,0.08
0.046223,0.0407,-0.0022,0.0236,0.05
0.056735,0.0403,0.0683,-0.0098,0.08
0.066087,0.0160,0.1118,-0.0377,0.12
0.078237,-0.0045,0.1278,-0.0178,0.13
0.087833,-0.0114,0.1388,0.0254,0.14
0.096154,-0.0133,0.1061,0.0395,0.11
0.105891,-0.0378,0.0725,0.0579,0.10
0.117090,-0.0468,0.0336,0.0475,0.07
0.128930,-0.0409,-0.0000,-0.0004,0.04
0.142131,-0.0637,-0.0278,-0.0333,0.08
0.149573,-0.0637,-0.0544,-0.0326,0.09
0.159802,-0.0410,-0.0901,0.0059,0.10
0.170156,-0.0287,-0.1070,0.0390,0.12
0.178733,-0.0209,-0.1007,0.0432,0.11
0.186840,-0.0358,-0.0666,0.0189,0.08
0.196930,-0.0307,-0.0377,-0.0285,0.06
0.207427,-0.0062,-0.0088,-0.0422,0.04
0.221016,0.0265,0.0150,-0.0132,0.03
0.232106,0.1330,0.0890,0.0294,0.16
0.238056,0.1129,0.0760,-0.0043,0.14
0.249433,0.0428,0.0009,0.0283,0.05
0.258719,-0.0044,-0.0453,0.1216,0.13
0.266869,-0.0476,-0.0718,0.1098,0.14
0.278550,-0.0573,-0.1022,0.0183,0.12
0.289734,-0.0611,-0.1220,-0.0905,0.16
0.297566,-0.0362,-0.1042,-0.0705,0.13
0.308482,-0.0209,-0.0653,0.0479,0.08
0.321073,-0.0056,-0.0395,0.1499,0.16
0.329140,0.0054,-0.0267,0.1934,0.20
0.336993,0.0176,-0.0069,0.1841,0.19
0.347462,0.0355,-0.0028,0.1559,0.16
0.357466,0.0771,0.0006,0.1611,0.18
0.369273,0.1069,-0.0017,0.1663,0.20
0.378778,0.1136,-0.0006,0.1245,0.17
0.386865,0.0986,0.0075,0.0504,0.11
0.397360,0.0654,0.0408,0.0057,0.08
0.408362,0.0412,0.0994,0.0037,0.11
0.419901,0.0071,0.1855,-0.0125,0.19
0.428308,-0.0165,0.2825,-0.0754,0.29
0.436991,-0.0321,0.3216,-0.1649,0.36
0.446927,-0.0645,0.3460,-0.2713,0.44
0.457502,-0.0795,0.4066,-0.2624,0.49
0.468915,-0.0567,0.4574,-0.1501,0.48
0.478846,-0.0231,0.4458,-0.0304,0.45
0.487492,0.0039,0.4284,0.0353,0.43
0.497296,0.0147,0.3645,0.0149,0.37
0.508891,0.0261,0.2707,-0.0663,0.28
0.520412,0.0120,0.1207,-0.1505,0.19
0.528204,0.0098,0.0328,-0.1577,0.16
0.537184,0.0381,-0.0562,-0.1127,0.13
0.549171,-0.0106,-0.1763,-0.0494,0.18
0.558947,-0.0020,-0.2249,0.0927,0.24
0.569815,-0.0362,-0.3211,0.1336,0.35
0.577807,-0.1180,-0.4175,0.1267,0.45
0.587201,-0.0997,-0.4539,0.1386,0.48
0.599315,-0.1221,-0.5440,0.1076,0.57
0.611942,-0.1082,-0.5440,0.0864,0.56
0.620168,-0.1161,-0.5107,0.0324,0.52
0.628456,-0.1167,-0.4668,-0.0346,0.48
0.637320,-0.1351,-0.3938,-0.0907,0.43
0.648382,-0.1380,-0.3217,-0.1079,0.37
0.661028,-0.1513,-0.2561,-0.0825,0.31
0.672958,-0.1488,-0.1842,-0.0152,0.24
0.682088,-0.1383,-0.1108,0.0411,0.18
0.688836,-0.1346,-0.0213,0.0492,0.14
0.699514,-0.1394,0.0678,-0.0277,0.16
0.711246,-0.1164,0.1341,-0.1172,0.21
0.720059,-0.0767,0.1836,-0.1861,0.27
0.728026,-0.0303,0.1923,-0.1830,0.27
0.737934,0.0371,0.1789,-0.1373,0.23
0.748937,0.1031,0.1320,-0.0689,0.18
0.761617,0.1691,0.0748,0.0171,0.19
0.769752,0.1875,0.0203,0.0826,0.21
0.778034,0.1875,-0.0174,0.1186,0.22
0.787539,0.1704,-0.0477,0.0690,0.19
0.798165,0.1511,-0.0549,0.0154,0.16
0.811657,0.1293,-0.0192,-0.0422,0.14
0.819961,0.1180,0.0365,-0.0752,0.14
0.827521,0.0970,0.1267,-0.0652,0.17
0.838243,0.0841,0.2034,-0.0504,0.23
0.851632,0.0697,0.2665,-0.0451,0.28
0.865807,0.0774,0.2822,-0.0303,0.29
0.874268,0.0987,0.2734,-0.0110,0.29
0.882593,0.1162,0.2448,0.0031,0.27
0.890900,0.1211,0.2107,0.0357,0.25
0.899404,0.1272,0.1198,0.0911,0.20
0.911664,0.1243,0.0356,0.0750,0.15
0.918690,0.1012,-0.0261,0.0028,0.10
0.928218,0.0713,-0.0751,-0.0444,0.11
0.938171,0.0486,-0.1208,-0.0812,0.15
0.951051,0.0351,-0.1554,-0.0701,0.17
0.960657,0.0466,-0.1711,-0.0970,0.20
0.969214,0.0657,-0.1677,-0.1755,0.25
0.978149,0.0764,-0.1699,-0.1257,0.22
0.989231,0.1001,-0.1980,0.0363,0.22
1.007938,0.1559,-0.2232,0.0449,0.28
1.008350,0.1593,-0.2302,0.0062,0.28
1.018621,0.1215,-0.2087,-0.0366,0.24
1.032317,0.0807,-0.2009,-0.0835,0.23
1.038619,-0.0010,-0.2015,-0.1438,0.25
1.050415,-0.1004,-0.1919,-0.1842,0.28
1.060703,-0.1377,-0.1683,-0.1579,0.27
1.069571,-0.1229,-0.1413,-0.1179,0.22
1.078809,-0.0559,-0.0819,-0.0693,0.12
1.089923,-0.0084,0.0188,-0.0261,0.03
1.100803,0.0193,0.1000,0.0069,0.10
1.110756,0.0259,0.1771,-0.0028,0.18
1.118706,0.0109,0.2269,-0.0075,0.23
1.128552,-0.0259,0.2635,-0.0258,0.27
1.138918,-0.0399,0.2675,-0.0485,0.27
1.153590,-0.0776,0.2762,-0.0425,0.29
1.163006,-0.1090,0.2643,0.0386,0.29
1.171645,-0.1194,0.2407,0.1559,0.31
1.179618,-0.1095,0.1961,0.2287,0.32
1.189897,-0.1318,0.1650,0.2342,0.32
1.198535,-0.1727,0.1336,0.1925,0.29
1.210100,-0.2045,0.1176,0.1187,0.26
1.218631,-0.2084,0.0985,0.0603,0.24
1.229352,-0.2041,0.0811,0.0172,0.22
1.240253,-0.1952,0.0606,-0.0299,0.21
1.251654,-0.1580,0.0463,-0.0197,0.17
1.260764,-0.1212,0.0231,-0.0191,0.12
1.273650,-0.0790,-0.0143,-0.0233,0.08
1.279792,-0.0645,-0.0372,-0.0794,0.11
1.289631,-0.0449,-0.0410,-0.0686,0.09
1.301738,-0.0295,-0.0497,-0.0345,0.07
1.313060,-0.0130,-0.0445,-0.0247,0.05
1.321033,0.0096,-0.0632,-0.0387,0.07
1.328698,0.0284,-0.0678,-0.0807,0.11
1.340017,0.0422,-0.0685,-0.0657,0.10
1.352210,0.0455,-0.0613,0.0198,0.08
1.361602,0.0440,-0.0608,0.0615,0.10
1.369005,0.0286,-0.0425,0.0506,0.07
1.378975,-0.0049,-0.0249,0.0164,0.03
1.389964,-0.0238,-0.0072,0.0063,0.03
1.402311,-0.0476,0.0249,0.0105,0.05
1.409687,-0.0429,0.0524,0.0147,0.07
1.419001,-0.0336,0.0893,0.0094,0.10
1.431162,-0.0054,0.1121,0.0136,0.11
1.442897,0.0314,0.1019,0.0413,0.11
1.451472,0.0762,0.0827,0.0592,0.13
1.460556,0.1095,0.0499,0.0628,0.14
1.469763,0.1412,0.0226,0.0381,0.15
1.478967,0.1481,-0.0044,0.0139,0.15
1.490125,0.1457,-0.0215,-0.0194,0.15
1.501984,0.1248,-0.0286,-0.0427,0.13
1.510084,0.0853,-0.0214,-0.0467,0.10
1.520600,0.0556,-0.0280,-0.0507,0.08
1.529073,0.0308,-0.0293,-0.0451,0.06
1.540027,0.0154,-0.0266,-0.0349,0.05
1.551334,0.0241,-0.0338,-0.0203,0.05
1.560138,0.0290,-0.0136,-0.0153,0.04
1.570079,0.0306,0.0243,-0.0058,0.04
1.582048,0.0424,0.0760,-0.0201,0.09
1.592800,0.0260,0.1133,-0.0200,0.12
1.601419,0.0049,0.1323,0.0036,0.13
1.609555,-0.0027,0.1238,0.0223,0.13
1.620933,-0.0154,0.0925,0.0265,0.10
1.629351,-0.0187,0.0482,0.0260,0.06
1.641555,-0.0217,0.0050,0.0066,0.02
1.651014,-0.0391,-0.0374,0.0065,0.05
1.659788,-0.0422,-0.0601,-0.0125,0.07
1.669568,-0.0453,-0.0726,-0.0171,0.09
1.682080,-0.0386,-0.0942,-0.0310,0.11
1.692662,-0.0319,-0.0966,-0.0259,0.10
1.701975,-0.0111,-0.1181,-0.0255,0.12
1.710131,0.0186,-0.1200,-0.0157,0.12
1.719469,0.0242,-0.1272,-0.0250,0.13
1.736326,0.0293,-0.1113,-0.0199,0.12
1.742686,0.0300,-0.0962,-0.0102,0.10
1.750363,0.0262,-0.0682,0.0181,0.08
1.760016,0.0231,-0.0362,0.0365,0.06
1.770059,0.0106,0.0049,0.0263,0.03
1.781020,-0.0069,0.0456,-0.0072,0.05
1.794031,-0.0203,0.0672,-0.0495,0.09
1.802872,-0.0390,0.1033,-0.0440,0.12
1.809573,-0.0287,0.1155,-0.0244,0.12
1.823577,-0.0220,0.1180,-0.0147,0.12
1.835082,-0.0227,0.1162,-0.0429,0.13
1.842509,-0.0118,0.1011,-0.1132,0.15
1.850430,-0.0346,0.0916,-0.0080,0.10
1.861237,-0.0224,0.0532,0.1803,0.19
1.871853,0.0349,0.0149,0.1302,0.14
1.884577,0.0526,0.0008,0.0716,0.09
1.894241,0.0133,0.0110,0.0045,0.02
1.902192,-0.0295,-0.0064,-0.0708,0.08
